"20k COMPOUNDING MODEL  ▸  Same logic as 15k but starting at ₹20,000 per chain",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Trade #,"Investment
₹","Target
@ 6.28% ₹","Gross Profit
₹","Brokerage
(0.247%) ₹","Net Profit
₹","STCG Tax
(20%) ₹","After-Tax
Profit ₹","Self Dividend
(50%) ₹","Growth Amount
(Next Trade +) ₹"
163,916148.1294,973682.2319,57534.10252,2267.796433,55266.30609,11495.39167,43770.91442,21885.45721,21885.45721
164,938033.5866,996942.0958,58908.50924,2321.970819,56586.53842,11769.99999,44816.53843,22408.26921,22408.26921
165,960441.8558,1020757.604,60315.74854,2377.439352,57938.30919,12051.16831,45887.14088,22943.57044,22943.57044
166,983385.4262,1045142.031,61756.60477,2434.232949,59322.37182,12339.05334,46983.31848,23491.65924,23491.65924
167,1006877.085,1070108.966,63231.88097,2492.383262,60739.4977,12633.81552,48105.68218,24052.84109,24052.84109
168,1030929.927,1095672.326,64742.39939,2551.922703,62190.47668,12935.61915,49254.85753,24627.42877,24627.42877
169,1055557.355,1121846.357,66289.00191,2612.884455,63676.11746,13244.63243,50431.48503,25215.74251,25215.74251
170,1080773.098,1148645.648,67872.55054,2675.302495,65197.24805,13561.02759,51636.22045,25818.11023,25818.11023
171,1106591.208,1176085.136,69493.92787,2739.211613,66754.71625,13884.98098,52869.73527,26434.86764,26434.86764
172,1133026.076,1204180.113,71154.03755,2804.647427,68349.39013,14216.67315,54132.71698,27066.35849,27066.35849
173,1160092.434,1232946.239,72853.80487,2871.646408,69982.15846,14556.28896,55425.8695,27712.93475,27712.93475
174,1187805.369,1262399.546,74594.17717,2940.245898,71653.93127,14904.0177,56749.91357,28374.95678,28374.95678
175,1216180.326,1292556.45,76376.12445,3010.484131,73365.64032,15260.05319,58105.58714,29052.79357,29052.79357
176,1245233.119,1323433.759,78200.63989,3082.400254,75118.23964,15624.59384,59493.64579,29746.8229,29746.8229
177,1274979.942,1355048.683,80068.74037,3156.03435,76912.70602,15997.84285,60914.86317,30457.43158,30457.43158
178,1305437.374,1387418.841,81981.46707,3231.427458,78750.03961,16380.00824,62370.03137,31185.01569,31185.01569
179,1336622.389,1420562.276,83939.88606,3308.621598,80631.26446,16771.30301,63859.96145,31929.98073,31929.98073
180,1368552.37,1454497.459,85945.08885,3387.659795,82557.42905,17171.94524,65385.48381,32692.7419,32692.7419
181,1401245.112,1489243.305,87998.19304,3468.586101,84529.60694,17582.15824,66947.44869,33473.72435,33473.72435
182,1434718.836,1524819.179,90100.34293,3551.445619,86548.89731,18002.17064,68546.72667,34273.36333,34273.36333
183,1468992.2,1561244.91,92252.71015,3636.284532,88616.42561,18432.21653,70184.20909,35092.10454,35092.10454
184,1504084.304,1598540.799,94456.49431,3723.150124,90733.34419,18872.53559,71860.8086,35930.4043,35930.4043
185,1540014.709,1636727.632,96712.9237,3812.090809,92900.83289,19323.37324,73577.45965,36788.72982,36788.72982
186,1576803.438,1675826.694,99023.25593,3903.156159,95120.09977,19784.98075,75335.11902,37667.55951,37667.55951
187,1614470.998,1715859.777,101388.7787,3996.396929,97392.38174,20257.6154,77134.76634,38567.38317,38567.38317
188,1653038.381,1756849.191,103810.8103,4091.865087,99718.94525,20741.54061,78977.40464,39488.70232,39488.70232
189,1692527.083,1798817.784,106290.7008,4189.613841,102101.087,21237.0261,80864.0609,40432.03045,40432.03045
190,1732959.114,1841788.946,108829.8324,4289.697672,104540.1347,21744.34801,82795.78667,41397.89333,41397.89333
191,1774357.007,1885786.627,111429.6201,4392.172361,107037.4477,22263.78912,84773.65857,42386.82929,42386.82929
192,1816743.836,1930835.349,114091.5129,4497.095023,109594.4179,22795.63893,86798.77898,43399.38949,43399.38949
193,1860143.226,1976960.221,116816.9946,4604.524136,112212.4705,23340.19385,88872.2766,44436.1383,44436.1383
194,1904579.364,2024186.948,119607.5841,4714.519575,114893.0645,23897.75742,90995.30709,45497.65354,45497.65354
195,1950077.018,2072541.855,122464.8367,4827.142647,117637.6941,24468.64037,93169.05371,46584.52685,46584.52685
196,1996661.545,2122051.89,125390.345,4942.456121,120447.8889,25053.16089,95394.728,47697.364,47697.364
197,2044358.909,2172744.648,128385.7395,5060.524268,123325.2152,25651.64476,97673.57044,48836.78522,48836.78522
198,2093195.694,2224648.383,131452.6896,5181.412893,126271.2767,26264.42555,100006.8511,50003.42557,50003.42557
199,2143199.119,2277792.024,134592.9047,5305.189372,129287.7153,26891.84479,102395.8705,51197.93527,51197.93527
200,2194397.055,2332205.19,137808.135,5431.922693,132376.2123,27534.25217,104841.9602,52420.98009,52420.98009
201,2246818.035,2387918.207,141100.1726,5561.683491,135538.4891,28192.00573,107346.4834,53673.24168,53673.24168
202,2300491.277,2444962.129,144470.8522,5694.544086,138776.3081,28865.47208,109910.836,54955.418,54955.418
203,2355446.695,2503368.747,147922.0524,5830.57853,142091.4739,29555.02657,112536.4473,56268.22366,56268.22366
204,2411714.918,2563170.615,151455.6969,5969.86264,145485.8342,30261.05352,115224.7807,57612.39035,57612.39035
205,2469327.309,2624401.063,155073.755,6112.474046,148961.2809,30983.94643,117977.3345,58988.66725,58988.66725
206,2528315.976,2687094.219,158778.2433,6258.492234,152519.751,31724.10822,120795.6428,60397.82141,60397.82141
207,2588713.797,2751285.024,162571.2265,6407.998585,156163.2279,32481.9514,123681.2765,61840.63824,61840.63824
